CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.000.208/0001-00;2024-12-31;3;BRB BANCO DE BRASILIA S.A.;014206;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-12-01;2024-12-31;4.03;Participação em Resultados Abrangentes de Invest. Avaliados pelo Método de Equivalência Patrimonial;0.0000000000;S
00.000.208/0001-00;2024-12-31;3;BRB BANCO DE BRASILIA S.A.;014206;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-12-01;2023-12-31;4.03.01;Valores que serão Reclassificados para o Resultado;0.0000000000;S
00.000.208/0001-00;2024-12-31;3;BRB BANCO DE BRASILIA S.A.;014206;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-12-01;2024-12-31;4.03.01;Valores que serão Reclassificados para o Resultado;0.0000000000;S
00.000.208/0001-00;2024-12-31;3;BRB BANCO DE BRASILIA S.A.;014206;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-12-01;2023-12-31;4.03.02;Valores que não serão Reclassificados para o Resultado;0.0000000000;S
00.000.208/0001-00;2024-12-31;3;BRB BANCO DE BRASILIA S.A.;014206;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-12-01;2024-12-31;4.03.02;Valores que não serão Reclassificados para o Resultado;0.0000000000;S
00.000.208/0001-00;2024-12-31;3;BRB BANCO DE BRASILIA S.A.;014206;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-12-01;2023-12-31;4.04;Resultado Abrangente do Período;426109.0000000000;S
00.000.208/0001-00;2024-12-31;3;BRB BANCO DE BRASILIA S.A.;014206;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-12-01;2024-12-31;4.04;Resultado Abrangente do Período;130264.0000000000;S
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;4.01;Lucro Líquido do Período;4549774.0000000000;S
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;4.01;Lucro Líquido do Período;10378122.0000000000;S
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;4.02;Outros Resultados Abrangentes;110880.0000000000;S
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;4.02;Outros Resultados Abrangentes;1929651.0000000000;S
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;4.02.01;Mudança no valor justo dos instrumentos financeiros por meio de ORA;206508.0000000000;N
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;4.02.01;Mudança no valor justo dos instrumentos financeiros por meio de ORA;-143659.0000000000;N
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;4.02.02;IR / CSLL diferidos;-70213.0000000000;N
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;4.02.02;IR / CSLL diferidos;48844.0000000000;N
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;4.02.03;Participação no resultado abrangente das controladas, coligadas e controladas em conjunto;359423.0000000000;N
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;4.02.03;Participação no resultado abrangente das controladas, coligadas e controladas em conjunto;1315685.0000000000;N
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;4.02.04;Remensuração de obrigações de benefícios pós-emprego;-119988.0000000000;N
